,Description,clips,category,clip_arrays
0,"desc,path
Backpack - large - hitting and thudding 2.""",new_clips2/0.mp3,trash,"[-0.01403572 -0.01473852 -0.01417225 ...  0.0174988   0.01965971
  0.01711767]"
1,Backpack - large - hitting and thudding 1.,new_clips2/1.mp3,trash,[0.00227588 0.00220759 0.00211427 ... 0.00424131 0.00469212 0.00357672]
2,Backpack - large - hitting 2.,new_clips2/2.mp3,trash,[0.0039115  0.00787181 0.00846992 ... 0.00921719 0.00943074 0.00898538]
3,Backpack - large - hitting 1.,new_clips2/3.mp3,trash,[0.00753213 0.01151024 0.01400643 ... 0.01214188 0.01193595 0.01297344]
4,Backpack - falling softly 2.,new_clips2/4.mp3,trash,"[ 0.03250847  0.03026881  0.03248317 ... -0.01807626 -0.02928961
 -0.03598799]"
5,Backpack - falling softly 1.,new_clips2/5.mp3,trash,"[ 0.00239861  0.01037328 -0.00207362 ... -0.02666568 -0.02939156
 -0.01829996]"
6,Backpack - falling hard 4.,new_clips2/6.mp3,trash,[0.00838903 0.01513407 0.01552704 ... 0.0122704  0.00892434 0.01148593]
7,Backpack - falling hard 3.,new_clips2/7.mp3,trash,"[-0.00564946 -0.00774956 -0.00858435 ...  0.00483933  0.00871629
  0.00669941]"
8,Backpack - falling hard 2.,new_clips2/8.mp3,trash,"[-0.01890959 -0.02327639 -0.02258485 ...  0.02753313  0.02643381
  0.02687814]"
9,Backpack - falling hard 1.,new_clips2/9.mp3,trash,"[-0.00158011 -0.00510646 -0.00886481 ... -0.01181707 -0.01149944
 -0.00664872]"
10,Bullet shells - falling and clanking on other shells 4.,new_clips2/10.mp3,trash,[0.2431156  0.37709567 0.48063463 ... 0.4120713  0.02805711 0.27543676]
11,Bullet shells - falling and clanking on other shells 3.,new_clips2/11.mp3,trash,"[-0.19875567 -0.36294684 -0.56568724 ... -0.3089003   0.30191004
  0.03576098]"
12,Bullet shells - falling and clanking on other shells 2.,new_clips2/12.mp3,trash,[0.01038167 0.0163726  0.01630486 ... 0.01819714 0.00956592 0.00248044]
13,Bullet shells - falling and clanking on other shells 1.,new_clips2/13.mp3,trash,"[ 0.4471596   0.5387277  -0.07547285 ...  0.05621898 -0.85158205
  0.50741726]"
14,Object dropping into water 4.,new_clips2/14.mp3,trash,"[-0.00563668  0.01018957 -0.00978587 ...  0.01558249  0.01691645
  0.01530237]"
15,Object dropping into water 3.,new_clips2/15.mp3,trash,"[-0.0671666  -0.15458399 -0.08112309 ...  0.03808738  0.04113716
  0.07482453]"
16,Object dropping into water 2.,new_clips2/16.mp3,trash,"[-0.01396304 -0.03329323 -0.04804866 ... -0.07030416 -0.06036968
 -0.04653977]"
17,Object dropping into water 1.,new_clips2/17.mp3,trash,"[-0.02722005  0.05727303 -0.09564409 ...  0.068381    0.05642922
  0.04357341]"
18,Throwing plastic bottle with water on wooden floor.,new_clips2/18.mp3,plastic,"[-0.00019652  0.00167848  0.0004956  ...  0.00200855  0.00230425
  0.00225826]"
19,Throwing plastic bottle with water on carpeted floor.,new_clips2/19.mp3,plastic,[0.00020221 0.00713088 0.00515982 ... 0.00273042 0.00272439 0.00254052]
20,Backpack - large - hitting and thudding 2.,new_clips2/20.mp3,trash,"[-0.01403572 -0.01473852 -0.01417225 ...  0.0174988   0.01965971
  0.01711767]"
21,Backpack - large - hitting and thudding 1.,new_clips2/21.mp3,trash,[0.00227588 0.00220759 0.00211427 ... 0.00424131 0.00469212 0.00357672]
22,Backpack - large - hitting 2.,new_clips2/22.mp3,trash,[0.0039115  0.00787181 0.00846992 ... 0.00921719 0.00943074 0.00898538]
23,Backpack - large - hitting 1.,new_clips2/23.mp3,trash,[0.00753213 0.01151024 0.01400643 ... 0.01214188 0.01193595 0.01297344]
24,Backpack - falling softly 2.,new_clips2/24.mp3,trash,"[ 0.03250847  0.03026881  0.03248317 ... -0.01807626 -0.02928961
 -0.03598799]"
25,Backpack - falling softly 1.,new_clips2/25.mp3,trash,"[ 0.00239861  0.01037328 -0.00207362 ... -0.02666568 -0.02939156
 -0.01829996]"
26,Backpack - falling hard 4.,new_clips2/26.mp3,trash,[0.00838903 0.01513407 0.01552704 ... 0.0122704  0.00892434 0.01148593]
27,Backpack - falling hard 3.,new_clips2/27.mp3,trash,"[-0.00564946 -0.00774956 -0.00858435 ...  0.00483933  0.00871629
  0.00669941]"
28,Backpack - falling hard 2.,new_clips2/28.mp3,trash,"[-0.01890959 -0.02327639 -0.02258485 ...  0.02753313  0.02643381
  0.02687814]"
29,Backpack - falling hard 1.,new_clips2/29.mp3,trash,"[-0.00158011 -0.00510646 -0.00886481 ... -0.01181707 -0.01149944
 -0.00664872]"
