,Description,clips,category,key_word
0,"desc,path
Backpack - large - hitting and thudding 2.""",new_clips2/0.mp3,trash,desc
1,Backpack - large - hitting and thudding 1.,new_clips2/1.mp3,trash,backpack
2,Backpack - large - hitting 2.,new_clips2/2.mp3,trash,backpack
3,Backpack - large - hitting 1.,new_clips2/3.mp3,trash,backpack
4,Backpack - falling softly 2.,new_clips2/4.mp3,trash,backpack
5,Backpack - falling softly 1.,new_clips2/5.mp3,trash,backpack
6,Backpack - falling hard 4.,new_clips2/6.mp3,trash,backpack
7,Backpack - falling hard 3.,new_clips2/7.mp3,trash,backpack
8,Backpack - falling hard 2.,new_clips2/8.mp3,trash,backpack
9,Backpack - falling hard 1.,new_clips2/9.mp3,trash,backpack
10,Bullet shells - falling and clanking on other shells 4.,new_clips2/10.mp3,trash,bullet
11,Bullet shells - falling and clanking on other shells 3.,new_clips2/11.mp3,trash,bullet
12,Bullet shells - falling and clanking on other shells 2.,new_clips2/12.mp3,trash,bullet
13,Bullet shells - falling and clanking on other shells 1.,new_clips2/13.mp3,trash,bullet
14,Object dropping into water 4.,new_clips2/14.mp3,trash,water
15,Object dropping into water 3.,new_clips2/15.mp3,trash,water
16,Object dropping into water 2.,new_clips2/16.mp3,trash,water
17,Object dropping into water 1.,new_clips2/17.mp3,trash,water
18,Throwing plastic bottle with water on wooden floor.,new_clips2/18.mp3,plastic,plastic
19,Throwing plastic bottle with water on carpeted floor.,new_clips2/19.mp3,plastic,plastic
20,Backpack - large - hitting and thudding 2.,new_clips2/20.mp3,trash,backpack
21,Backpack - large - hitting and thudding 1.,new_clips2/21.mp3,trash,backpack
22,Backpack - large - hitting 2.,new_clips2/22.mp3,trash,backpack
23,Backpack - large - hitting 1.,new_clips2/23.mp3,trash,backpack
24,Backpack - falling softly 2.,new_clips2/24.mp3,trash,backpack
25,Backpack - falling softly 1.,new_clips2/25.mp3,trash,backpack
26,Backpack - falling hard 4.,new_clips2/26.mp3,trash,backpack
27,Backpack - falling hard 3.,new_clips2/27.mp3,trash,backpack
28,Backpack - falling hard 2.,new_clips2/28.mp3,trash,backpack
29,Backpack - falling hard 1.,new_clips2/29.mp3,trash,backpack
30,Bullet shells - falling and clanking on other shells 4.,new_clips2/30.mp3,trash,bullet
31,Bullet shells - falling and clanking on other shells 3.,new_clips2/31.mp3,trash,bullet
32,Bullet shells - falling and clanking on other shells 2.,new_clips2/32.mp3,trash,bullet
33,Bullet shells - falling and clanking on other shells 1.,new_clips2/33.mp3,trash,bullet
34,Object dropping into water 4.,new_clips2/34.mp3,trash,water
35,Object dropping into water 3.,new_clips2/35.mp3,trash,water
36,Object dropping into water 2.,new_clips2/36.mp3,trash,water
37,Object dropping into water 1.,new_clips2/37.mp3,trash,water
38,Throwing plastic bottle with water on wooden floor.,new_clips2/38.mp3,plastic,plastic
39,Throwing plastic bottle with water on carpeted floor.,new_clips2/39.mp3,plastic,plastic
40,Metal flask drop to carpeted floor with water.,new_clips2/40.mp3,metal,metal
41,Metal dropped on wooden floor.,new_clips2/41.mp3,metal,metal
42,Metal dropped on plastic chair.,new_clips2/42.mp3,metal,metal
43,Metal dropped on grass.,new_clips2/43.mp3,metal,metal
44,Metal dropped on carpet.,new_clips2/44.mp3,metal,metal
45,Metal bowl dropped on carpeted floor.,new_clips2/45.mp3,metal,metal
46,Large headphones thrown on wooden table.,new_clips2/46.mp3,trash,headphones
47,Large headphones thrown on carpeted floor.,new_clips2/47.mp3,trash,headphones
48,Large headphones put on wooden table.,new_clips2/48.mp3,trash,headphones
49,Large headphones put on glass table.,new_clips2/49.mp3,trash,headphones
50,Large headphones put on glass table slowly.,new_clips2/50.mp3,trash,headphones
51,Large headphones put down slowly on wooden table.,new_clips2/51.mp3,trash,headphones
52,Large headphones dropped on carpeted floor.,new_clips2/52.mp3,trash,headphones
53,Laptop charger thrown on wooden table.,new_clips2/53.mp3,trash,charger
54,Laptop charger thrown on carpeted floor.,new_clips2/54.mp3,trash,charger
55,Laptop charger dropped on wooden table.,new_clips2/55.mp3,trash,charger
56,Laptop charger dropped on carpeted floor.,new_clips2/56.mp3,trash,charger
57,Laptop charger cable thrown on wooden table.,new_clips2/57.mp3,trash,charger
58,Laptop charger cable thrown on carpeted floor.,new_clips2/58.mp3,trash,charger
59,Laptop charger cable dropped on carpeted floor.,new_clips2/59.mp3,trash,charger
60,Laptop charger cable drop on wooden table.,new_clips2/60.mp3,trash,charger
61,Laptop charger cable drop on glass table.,new_clips2/61.mp3,trash,charger
62,Putting a set of papers on a glass table.,new_clips2/62.mp3,paper,papers
63,Putting a set of paper on a table.,new_clips2/63.mp3,paper,paper
64,Jacket thrown on sofa.,new_clips2/64.mp3,trash,jacket
65,Jacket thrown on floor.,new_clips2/65.mp3,trash,jacket
66,Jacket thrown on bed.,new_clips2/66.mp3,trash,jacket
67,Jacket dropped on sofa.,new_clips2/67.mp3,trash,jacket
68,Jacket dropped on floor.,new_clips2/68.mp3,trash,jacket
69,Jacket dropped on bed.,new_clips2/69.mp3,trash,jacket
70,Headphone jack put down on table and rolling.,new_clips2/70.mp3,trash,headphone
71,Earphones thrown on wooden table.,new_clips2/71.mp3,trash,earphones
72,Earphones thrown on glass table.,new_clips2/72.mp3,trash,earphones
73,Earphones thrown on carpeted floor.,new_clips2/73.mp3,trash,earphones
74,Earphones put on wooden table 1.,new_clips2/74.mp3,trash,earphones
75,Earphones put on wooden table 2.,new_clips2/75.mp3,trash,earphones
76,Earphones put down on glass table.,new_clips2/76.mp3,trash,earphones
77,Earphones dropped on carpeted floor.,new_clips2/77.mp3,trash,earphones
78,Dropping plastic bottle with water on wooden floor.,new_clips2/78.mp3,plastic,plastic
79,Dropping plastic bottle with water on carpeted floor.,new_clips2/79.mp3,plastic,plastic
80,Dropping plastic bottle on wooden floor.,new_clips2/80.mp3,plastic,plastic
81,Dropping plastic bottle on carpeted floor.,new_clips2/81.mp3,plastic,plastic
82,Dropping leather purse with coins on wooden floor.,new_clips2/82.mp3,trash,purse
83,Dropping leather purse with coins on carpet.,new_clips2/83.mp3,trash,purse
84,Dropping leather purse on a carpet.,new_clips2/84.mp3,trash,purse
85,Dropping coffee powder into milk.,new_clips2/85.mp3,trash,coffee
86,Car keys thrown on wooden table.,new_clips2/86.mp3,trash,car
87,Car keys thrown on glass table.,new_clips2/87.mp3,trash,car
88,Car keys thrown on carpeted floor.,new_clips2/88.mp3,trash,car
89,Car keys put down slowly on wooden table.,new_clips2/89.mp3,trash,car
